COMPOUND_NAME	SMILES	CDK5_pIC50
2477205	c1cc(c(cc1Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F)Cl)O	6.602059991
2477014	CCCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)S(=O)(=O)N	7.698970004
2476918	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C#N	6.008773924
2477079	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)C	8.096910013
2476966	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)O	6.113509275
2477041	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)Cl)Cl	7.408935393
2477086	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C#N	7.387216143
2477087	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)N(=O)=O)F	6.318758763
2476916	CCn1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)C(F)(F)F	6.187086643
2476997	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC	6.886056648
2477076	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)I	7.769551079
2476943	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC	6.795880017
2477223	CC(C)(C)OC(=O)Nc1ccc(cc1)Nc2ncc3ccc(=O)n(c3n2)C	5.943095149
2477030	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)S(=O)(=O)N	7.823908741
2477067	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC	7.296708622
2477062	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)OC(C)(C)C	7.190440285
2477036	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NC(=O)C)C#N	7.408935393
2477105	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)OC(C)(C)C	7.142667504
2477066	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)OC)OC	7.66756154
2477209	c1ccc(cc1)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F	6.397940009
2476965	CCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)NC(=O)C	6.638272164
2476934	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)N(=O)=O	6.425968732
2476822	CCn1c(=O)ccc2c1nc(nc2)Nc3ccccc3OC	5.774690718
2477071	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)N(=O)=O	6.707522406
2477035	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C#N)C#N	6.795880017
2477074	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)OC	8
2476924	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)OC	7.15864053
2477078	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)C(F)(F)F	6.508638306
2476917	CCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)F)F	6.327902142
2477080	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Cl	7.576754126
2476942	CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)O)Cl	7.033858267
2476948	CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)OC)OC)OC	6.522878745
2476987	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)I	7.07211659
2476919	CCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)C(F)(F)F	6.619788758
2477216	c1cc(=O)n(c2c1cnc(n2)Nc3c(cc(cc3F)F)F)CC(F)(F)F	4.602059991
2477013	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Cl	6.534617149
2476905	CCn1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)Cl)O)Cl	6.351639989
2476904	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O	6.612610174
2477132	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NC(=O)C)C	6.522878745
2476929	CCCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3C(F)(F)F)C(F)(F)F	5.611721137
2477016	CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)F)F	6.552841969
2477095	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)F	6.772113295
2477083	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)N(C)C(=O)C	7.30980392
2477099	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)Br	6.904830649
2476951	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)OC	7.318758763
2477008	CCCCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)OC)C(F)(F)F	6.229147988
2477119	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)OC)C(F)(F)F	7.15490196
2477096	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C#N	7.389339837
2476999	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)F	6.966576245
2477056	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)OC(F)(F)F	7.200659451
2476954	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)Br	7.036212173
2476933	CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)Cl)Cl	6.973058372
2476953	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NC(=O)C)C#N	6.769551079
2477134	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(=O)O)O	6.537602002
2476961	CCCn1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)F)F	6.698970004
2477110	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)OC)OC	7.903089987
2476988	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)C	6.882728704
2477220	Cc1cc(ccc1NC(=O)C)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F	4.602059991
2477210	COc1ccc(cc1F)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F	6.744727495
2477055	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)C(F)(F)F	7.148741651
2477010	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)I	7.055517328
2477070	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)F	7.537602002
2477058	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccccc3	7.127843727
2477093	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)F	7.407823243
2477031	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)F	7.48148606
2477026	CC(C)n1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)C	7.41453927
2477133	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(c(c(c3)C)O)C	7.552841969
2476995	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O	7.332547047
2477009	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)F	7.091514981
2476911	CCn1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)N(=O)=O	6.060480747
2477204	c1cc(c(cc1O)F)Nc2ncc3ccc(=O)n(c3n2)CC(F)(F)F	6.142667504
2476796	CCn1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)OC(C(F)F)(F)F	6.245651664
2476941	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)O	7.508638306
2476931	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)S(=O)(=O)N	7.373659633
2476972	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)Br	7.065501549
2477081	CCC(C)n1c(=O)ccc2c1nc(nc2)Nc3cccc(c3)S(=O)(=O)N	8.017728767
2477039	Cc1ccc(cc1I)Nc2ncc3ccc(=O)n(c3n2)C(C)C	7.677780705
2476915	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)F	6.920818754
2476913	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)NC(=O)C)C#N	6
2477113	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C(F)(F)F)F	7.677780705
2476993	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)NC(=O)OC(C)(C)C	6.688246139
2476950	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)F	6.823908741
2477226	Cn1c(=O)ccc2c1nc(nc2)Nc3cc(ccc3F)N(=O)=O	4.602059991
2477121	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3cc(cc(c3)F)F	6.920818754
2477114	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)C)F	7.886056648
2476956	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)F)F	6.958607315
2476959	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)C	7.455931956
2476981	CCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)F	7.069050969
2476909	CCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3)S(=O)(=O)N	7.193820026
2476980	CCCCn1c(=O)ccc2c1nc(nc2)Nc3ccc(cc3F)F	6.140561465
2477122	CCC(CC)n1c(=O)ccc2c1nc(nc2)Nc3ccc(c(c3)Cl)Cl	7.301029996
